CompanyId,StockDate,Open,High,Low,Close,TomorrowClose,Return,TomorrowReturn,Doji,Hammer,InvertedHammer,ShootingStar,BullishEngulfing,BearishEngulfing,PiercingLine,DarkCloudCover,MorningStar,EveningStar,ThreeWhiteSoldiers,ThreeBlackCrows,TweezerTop,TweezerBottom,InsideBar,OutsideBar,MA,MA_slope,UpTrend_MA,DownTrend_MA,MomentumUp,MomentumDown,ConfirmedUpTrend,ConfirmedDownTrend,RecentReturn,UpTrend_Return,DownTrend_Return,Volatility,LowVolatility,HighVolatility,ROC,MomentumZ,SignalStrength,SignalStrengthHybrid,ActionConfidence,BullishStrengthHybrid,BearishStrengthHybrid,SignalDuration,ValidAction,HasValidSignal,MomentumAction,PatternAction,CandleAction,CandidateAction,Action,TomorrowAction,TomorrowActionSource,BatchId,IngestedAt,TimeFrame,log_Open,log_High,log_Low,log_Close,Pred_Linear,Pred_Lasso,Pred_Ridge,PredictedTomorrowClose,Pred_SARIMAX,order,seasonal_order,Pred_lr_PyCaret_SARIMAX,Pred_lasso_PyCaret_SARIMAX,Pred_ridge_PyCaret_SARIMAX,Pred_en_PyCaret_SARIMAX,Pred_lr_PyCaret_PyCaret,Pred_lasso_PyCaret_PyCaret,Pred_ridge_PyCaret_PyCaret,Pred_en_PyCaret_PyCaret
34193,2025-08-29,0.0225,0.025,0.0225,0.025,0.0,26.77777777777778,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0033100000000000004,0.29296875,True,False,True,False,True,False,26.77777777777778,True,False,8.467876845561994,False,True,26.77777777777778,2.8460498941515415,1,0.356275852845776,0.356275852845776,0.356275852845776,0.356275852845776,17.0,True,True,Buy,Sell,Hold,Buy,Buy,Hold,LastRowHold,34193_20250911_174748,20250911_174748,Long,-3.7942399697717626,-3.6888794541139363,-3.7942399697717626,-3.6888794541139363,-2.915957320138059e-16,0.011931602419874406,0.4338706901639197,0.14860076419459795,6.360113352857738,"(1, 1, 1)","(0, 1, 1, 7)",0.21826846981048845,0.21805497582048783,0.21826846981048575,0.21805767641533125,0.21826846981048845,0.21805497582048783,0.21826846981048575,0.21805767641533125
103533,2025-09-09,0.0907,0.0907,0.0907,0.0907,0.0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0907,-0.2252498505167848,False,True,False,False,False,False,0.0,False,False,1e-08,True,False,0.0,0.0,0,0.9188083823345198,0.0,0.9188083823345198,0.9188083823345198,49.0,False,True,Hold,Sell,Hold,Hold,Hold,Hold,LastRowHold,103533_20250911_175926,20250911_175926,Long,-2.400197921861046,-2.400197921861046,-2.400197921861046,-2.400197921861046,-1.0062601190316578e-16,0.13724878003116142,0.08532022645482297,0.07418966882866142,0.021412841651371698,"(1, 1, 1)","(0, 1, 1, 7)",-0.07111111111111111,0.05654142374304003,0.05654731558428873,0.0565473155842887,-0.07111111111111111,0.05654142374304003,0.05654731558428873,0.0565473155842887
246418,2025-09-10,0.0863,0.098,0.085,0.085,0.0,-0.001175088131609714,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.098318,-0.3344660457056211,False,True,False,True,False,True,-0.35114503816793896,False,True,0.20165086485596057,False,True,-0.35114503816793896,0.10115808868047334,0,0.9217478392608184,0.0,0.9217478392608184,0.9217478392608184,64.0,False,True,Buy,Sell,Hold,Buy,Hold,Hold,LastRowHold,246418_20250911_175943,20250911_175943,Long,-2.449925680892755,-2.322787800311565,-2.4651040224918206,-2.4651040224918206,-9.288684563009258e-17,0.12390205585543759,0.10100174909021312,0.07496793498188353,-0.007633527944745677,"(1, 1, 1)","(0, 1, 1, 7)",0.04156135271194043,0.04156135271194039,0.0415613527119404,0.041532103021470375,0.04156135271194043,0.04156135271194039,0.0415613527119404,0.041532103021470375
53152,2025-09-10,0.06,0.1,0.06,0.09,0.0,-0.18181818181818188,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.1204,-0.13365713257780176,False,True,False,True,False,True,-0.4,False,True,0.2801550900138452,True,False,-0.4,-0.5862232709222486,0,0.7972888586287257,0.0,0.7972888586287257,0.7972888586287257,142.0,False,True,Sell,Sell,Hold,Sell,Hold,Hold,LastRowHold,53152_20250911_175039,20250911_175039,Long,-2.8134107167600364,-2.3025850929940455,-2.8134107167600364,-2.4079456086518722,1.6066328916083455e-16,0.1550068203200132,0.10707017615505914,0.08735899882502417,-0.21047310250359463,"(1, 1, 1)","(0, 1, 1, 7)",0.2761896840136359,0.2761896840137337,0.2761896840137337,0.2760526000783822,0.2761896840136359,0.2761896840137337,0.2761896840137337,0.2760526000783822
1219,2025-09-10,0.075,0.075,0.075,0.075,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.14318999999999998,-0.24097535117943292,False,True,False,True,False,True,-0.602438377948582,False,True,0.19050774242148757,False,True,-0.602438377948582,0.31622776601683794,0,0.604172389367932,0.0,0.604172389367932,0.604172389367932,20.0,False,True,Buy,Sell,Hold,Buy,Hold,Hold,LastRowHold,1219_20250911_174547,20250911_174547,Long,-2.5902671654458267,-2.5902671654458267,-2.5902671654458267,-2.5902671654458267,4.97961762549107e-16,0.15758304787691788,0.06828361259762927,0.07528888682484922,,,,,,,,,,,
103533,2025-09-09,0.0907,0.0907,0.0907,0.0907,0.0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0907,-0.12161040398450462,False,True,False,False,False,False,0.0,False,False,1e-08,False,False,0.0,0.0,0,0.17105567316495288,0.0,0.17105567316495288,0.17105567316495288,49.0,False,True,Hold,Sell,Hold,Hold,Hold,Hold,LastRowHold,103533_20250911_183421,20250911_183421,Daily,-2.400197921861046,-2.400197921861046,-2.400197921861046,-2.400197921861046,-9.59957862225399e-16,0.13644819444637585,0.09015946142882897,0.07553588529173462,0.15249300272457728,"(1, 1, 1)","(0, 1, 1, 7)",0.056547290947702195,0.05654142374304003,0.05654731558428873,0.0565372185123937,0.056547290947702195,0.05654142374304003,0.05654731558428873,0.0565372185123937
246418,2025-09-10,0.0863,0.098,0.085,0.085,0.0,-0.001175088131609714,0.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.08497571428571428,-0.3694493030158479,False,True,False,True,False,True,-0.001175088131609714,False,True,0.20165086485596057,False,True,-0.3621013133208255,0.10115808868047334,0,0.5304706844501816,0.0,0.5304706844501816,0.5304706844501816,82.0,False,True,Buy,Sell,Hold,Buy,Hold,Hold,LastRowHold,246418_20250911_183438,20250911_183438,Daily,-2.449925680892755,-2.322787800311565,-2.4651040224918206,-2.4651040224918206,-8.747118741613959e-16,0.12905644518138673,0.10469480546856705,0.07791708354998429,0.051024609764192375,"(1, 1, 1)","(0, 1, 1, 7)",0.04156135274636809,0.04156135271194039,0.04156135271194039,0.041532103021470375,0.04156135274636809,0.04156135271194039,0.04156135271194039,0.041532103021470375
53152,2025-09-10,0.06,0.1,0.06,0.09,0.0,-0.18181818181818188,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.12142857142857143,-0.07002188183807456,False,True,False,True,False,True,-0.18181818181818188,False,True,0.2801550900138452,True,False,-0.3076923076923077,-0.5862232709222486,0,0.6725581450759451,0.0,0.6725581450759451,0.6725581450759451,183.0,False,True,Sell,Sell,Hold,Sell,Hold,Hold,LastRowHold,53152_20250911_182526,20250911_182526,Daily,-2.8134107167600364,-2.3025850929940455,-2.8134107167600364,-2.4079456086518722,-4.235478166072242e-17,0.15851755448165994,0.10372814132016943,0.08741523193394311,-0.3197009704117063,"(1, 1, 1)","(0, 1, 1, 7)",0.2761896840133857,0.2761896840137337,0.2761896840137338,0.2760527576939143,0.2761896840133857,0.2761896840137337,0.2761896840137338,0.2760527576939143
34193,2025-08-29,0.0225,0.025,0.0225,0.025,0.0,26.77777777777778,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.004342857142857143,3.825396825396826,True,False,True,False,True,False,26.77777777777778,True,False,8.467876845561994,False,True,26.77777777777778,2.8460498941515415,1,0.9999999999999997,0.9999999999999997,0.9999999999999997,0.9999999999999997,17.0,True,True,Buy,Buy,Hold,Buy,Buy,Hold,LastRowHold,34193_20250911_182233,20250911_182233,Daily,-3.7942399697717626,-3.6888794541139363,-3.7942399697717626,-3.6888794541139363,-2.887039585171006e-15,0.013748664227053273,0.4131816532868395,0.1423101058379633,-5.163113862571216,"(1, 1, 1)","(0, 1, 1, 7)",0.2182684698104834,0.21805497582048783,0.2182684698104857,0.21805767641533125,0.2182684698104834,0.21805497582048783,0.2182684698104857,0.21805767641533125
1219,2025-09-10,0.075,0.075,0.075,0.075,0.0,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.12370714285714286,-0.344250501684904,False,True,False,True,False,False,0.0,False,False,0.19050774242148757,False,True,-0.602438377948582,0.31622776601683794,0,0.3962038997193678,0.0,0.3962038997193678,0.3962038997193678,16.0,False,True,Buy,Sell,Hold,Buy,Hold,Hold,LastRowHold,1219_20250911_182030,20250911_182030,Daily,-2.5902671654458267,-2.5902671654458267,-2.5902671654458267,-2.5902671654458267,6.043181442590516e-16,0.15439631928002234,0.06873493858409996,0.07437708595470764,,,,,,,,,,,
